"logFC"	"logCPM"	"PValue"	"FDR"
"ENSG00000204272.12"	-4.62422197908582	7.19012150270289	2.39022363220779e-11	9.34394853665785e-09
"ENSG00000229314.5"	7.41833820731109	12.3528965035854	3.0848673343058e-11	1.19763059896604e-08
"ENSG00000119547.5"	6.77610132259275	4.22113369230231	3.70016004301172e-11	1.42600821357125e-08
"ENSG00000214456.8"	9.36656311041702	3.9700693943383	3.72378816895482e-11	1.42600821357125e-08
"ENSG00000147647.12"	6.70216105663812	5.13220053312248	3.7695787400515e-11	1.43378983793053e-08
"ENSG00000175336.9"	8.38436559535129	5.84999691590638	3.88885880783453e-11	1.46923173737872e-08
"ENSG00000163430.11"	-5.52342316309431	4.97938886775088	3.99561101411052e-11	1.49673107891683e-08
"ENSG00000131910.4"	9.95397862908079	4.54377241706046	4.01482232100691e-11	1.49673107891683e-08
"ENSG00000184999.11"	10.6187865909425	5.19852531033734	4.72342975119323e-11	1.74931599331527e-08
"ENSG00000160654.9"	-5.49893983897874	5.76132738144046	4.81567865290581e-11	1.77182351900671e-08
"ENSG00000113905.4"	10.593767391722	9.35770740801848	4.99362310644059e-11	1.82529387250782e-08
"ENSG00000248187.1"	-10.3796361149078	4.99009407718977	5.02585668269079e-11	1.82529387250782e-08
"ENSG00000111275.12"	4.97231741359055	8.18260059079166	5.12350627828292e-11	1.84883037771398e-08
"ENSG00000129354.11"	-4.98629686030488	5.10783872506115	5.17089084311701e-11	1.85404431994641e-08
"ENSG00000079557.4"	11.3250960228806	8.68875127624786	5.78449408498143e-11	2.06092737674595e-08
"ENSG00000146678.9"	6.58003377169256	4.078083767867	6.52708566246914e-11	2.30147764062698e-08
"ENSG00000158104.11"	7.32224261163634	6.9637144667851	6.54142473309854e-11	2.30147764062698e-08
"ENSG00000141505.11"	5.72950828723161	4.4210890144698	6.73205949458164e-11	2.35383742315829e-08
"ENSG00000073849.14"	4.47396168912237	7.01656223294003	7.53488209608462e-11	2.61827850515365e-08
"ENSG00000105398.3"	8.25521570466	8.33635104069441	7.75987549498109e-11	2.67991822845994e-08
"ENSG00000168386.18"	-6.01298117281017	5.13677316217917	8.08111541336875e-11	2.77384286563882e-08
"ENSG00000084207.15"	-4.93093732746897	8.74602379393555	8.16821671421327e-11	2.78674802117096e-08
"ENSG00000168679.17"	-5.33430380272277	4.80030279579868	8.79255530761161e-11	2.98168262609265e-08
"ENSG00000116690.12"	8.24445586457766	7.39475411515014	9.43353726523201e-11	3.17989289384255e-08
"ENSG00000112299.7"	7.66877808588472	7.36694159991066	9.63342389054287e-11	3.2279424468472e-08
"ENSG00000166920.12"	-5.69066453171341	5.76391960317896	1.0036777651343e-10	3.34319718536716e-08
"ENSG00000248740.5"	5.28549361571794	5.89809302816252	1.1202227647459e-10	3.70945294681419e-08
"ENSG00000092607.13"	9.33466716075319	3.93902046891698	1.22727730329208e-10	4.040182528317e-08
"ENSG00000165471.6"	9.4662638049292	4.06669860051799	1.26488150481482e-10	4.13976596224074e-08
"ENSG00000151726.13"	5.47154870997414	7.68984023639225	1.27684225164627e-10	4.15475611976437e-08
"ENSG00000196083.9"	4.66404955929844	6.71840611460941	1.4235410443468e-10	4.58717290381978e-08
"ENSG00000240194.7"	-6.25440517987856	4.4674457901903	1.42603033799666e-10	4.58717290381978e-08
"ENSG00000187048.12"	9.0053821321724	5.68948582740954	1.45170966788801e-10	4.64324388263749e-08
"ENSG00000152661.7"	-4.83394161022966	5.27583160640624	1.56338109267421e-10	4.97217016101182e-08
"ENSG00000106565.17"	5.19242629697518	7.15414485805917	1.89302687219506e-10	5.97835399163871e-08
"ENSG00000143921.6"	9.38397720049078	3.98734186847559	1.9009918897613e-10	5.97835399163871e-08
"ENSG00000156096.13"	7.63096711014061	9.34917700468136	1.96417688795564e-10	6.14274497520483e-08
"ENSG00000176153.11"	4.81000697049074	7.0704117569596	2.10319277647412e-10	6.54116193182639e-08
"ENSG00000138119.16"	-5.96150728694737	5.09444188929504	2.18405747932251e-10	6.75116480973923e-08
"ENSG00000137204.14"	10.8198815021087	5.39746960084974	2.19470122427705e-10	6.75116480973923e-08
"ENSG00000171766.15"	5.75037947133019	6.7405369980347	2.35358616541153e-10	7.16660626930571e-08
"ENSG00000079215.13"	-5.33981298309833	5.60419490000492	2.36273232804385e-10	7.16660626930571e-08
"ENSG00000163898.9"	-9.38410559010019	4.03593264800107	2.36794764196412e-10	7.16660626930571e-08
"ENSG00000211452.10"	5.4558054025455	5.82073290576457	2.45097712734784e-10	7.37822756309049e-08
"ENSG00000167642.12"	-4.88959607326873	5.44556018521856	2.52549669902329e-10	7.56211625947437e-08
"ENSG00000115363.13"	5.95700516513617	4.4026501356592	2.91274051056462e-10	8.67549743710127e-08
"ENSG00000034510.5"	-4.74876004991071	12.0780442006296	3.12832232762495e-10	9.26856046257849e-08
"ENSG00000167460.14"	-5.77064269936697	4.52838709629236	3.31427627616084e-10	9.76809185413206e-08
"ENSG00000124766.6"	-5.00435335445267	9.08895782564106	3.35737086486562e-10	9.82811889852854e-08
"ENSG00000222041.10"	-5.92496544267233	4.66659047104251	3.36956095325531e-10	9.82811889852854e-08
"ENSG00000163825.3"	13.0140611376907	7.57989941259097	3.39912899025738e-10	9.86325609528652e-08
"ENSG00000145321.12"	8.58037702265446	11.1715796495497	3.44753296909031e-10	9.95240889379493e-08
"ENSG00000237949.1"	12.2171836991953	6.78545816941665	3.52370447751343e-10	1.01204028649318e-07
"ENSG00000130707.17"	4.89422862816855	6.26079669743727	3.61666294297047e-10	1.0334660256276e-07
"ENSG00000169851.15"	-6.85289849613134	4.18573685018667	3.63730855595699e-10	1.03411621485094e-07
"ENSG00000243649.8"	5.10213411933219	9.72609413794498	3.79897275987207e-10	1.07174658725678e-07
"ENSG00000115828.15"	-6.20484721445034	4.42850727150922	3.80774372393293e-10	1.07174658725678e-07
"ENSG00000150656.14"	9.1078100028925	3.72007837400593	3.90964021266885e-10	1.09495212184959e-07
"ENSG00000148672.8"	4.34336070859361	6.28004826724824	4.19185263989584e-10	1.1681780230577e-07
"ENSG00000119888.10"	-5.16890614448334	5.43607274889193	4.24705473710861e-10	1.17773129219732e-07
"ENSG00000176014.12"	-6.31404709241839	4.51588761701024	4.30032699997298e-10	1.18665837161509e-07
"ENSG00000056736.9"	6.18490333381481	4.67297905048664	4.54269013210862e-10	1.24742271027703e-07
"ENSG00000185432.11"	6.2516618209673	7.80470500661629	4.5902699272199e-10	1.25436924763587e-07
"ENSG00000249364.5"	6.50326185401568	4.05591692841389	4.69649994057058e-10	1.27719841137459e-07
"ENSG00000171236.9"	8.14040511993857	8.48113483143465	4.78092216975882e-10	1.2939060177992e-07
"ENSG00000178772.6"	10.2029883022018	4.78731253194444	5.0556342980787e-10	1.36170728010404e-07
"ENSG00000041982.15"	-9.26829448671283	3.92706483119992	5.35097724081261e-10	1.43439315150983e-07
"ENSG00000277443.2"	-4.72173741052618	5.72431631139946	5.54760898728426e-10	1.48005475223314e-07
"ENSG00000131711.14"	-5.13401570558612	6.84372769423536	5.70860948596478e-10	1.5158243103463e-07
"ENSG00000166035.10"	5.43887014243119	5.56016052787982	6.39949558436834e-10	1.69129955366595e-07
"ENSG00000134365.12"	9.32751527601009	3.93187250578315	6.47335200058069e-10	1.70282431854528e-07
"ENSG00000138207.13"	4.96484614172299	10.6041474228634	7.16573495936666e-10	1.87618938636106e-07
"ENSG00000106538.9"	6.08937066737618	7.88607552374431	7.51832092184727e-10	1.95939277617384e-07
